,adjustedClose,volume,year,month,sales,netIncome,assets,equity,inflation,gas
211,87.05,107704691.0,2017,8,11362.666666666666,650.6666666666666,255160.0,147910.0,1.9,2.494
212,95.0416,107168113.0,2017,9,11362.666666666666,650.6666666666666,255160.0,147910.0,2.2,2.761
213,93.7393,110882186.0,2017,10,12189.333333333334,1037.0,253810.0,149320.0,2.0,2.621
214,97.1541,100335346.0,2017,11,12189.333333333334,1037.0,253810.0,149320.0,2.2,2.678
215,102.2163,102081581.0,2017,12,12189.333333333334,1037.0,253810.0,149320.0,2.1,2.594
216,102.347,127629090.0,2018,1,11993.333333333334,1212.6666666666667,256440.0,151570.0,2.1,2.671
217,92.291,167339580.0,2018,2,11993.333333333334,1212.6666666666667,256440.0,151570.0,2.2,2.705
218,94.0392,139466560.0,2018,3,11993.333333333334,1212.6666666666667,256440.0,151570.0,2.4,2.709
219,103.1677,143042793.0,2018,4,13552.0,1136.3333333333333,257930.0,153380.0,2.5,2.873
220,103.3865,147855116.0,2018,5,13552.0,1136.3333333333333,257930.0,153380.0,2.8,2.987
221,105.1582,136392348.0,2018,6,13552.0,1136.3333333333333,257930.0,153380.0,2.9,2.97
222,105.0251,105548364.0,2018,7,14061.666666666666,1349.0,256610.0,154670.0,2.9,2.928
223,99.467,113556949.0,2018,8,14061.666666666666,1349.0,256610.0,154670.0,2.7,2.914
224,102.6745,112657973.0,2018,9,14061.666666666666,1349.0,256610.0,154670.0,2.3,2.915
225,93.7489,152334791.0,2018,10,13315.333333333334,1243.3333333333333,253860.0,155640.0,2.5,2.943
226,100.8265,151564884.0,2018,11,13315.333333333334,1243.3333333333333,253860.0,155640.0,2.2,2.736
227,92.2222,169675118.0,2018,12,13315.333333333334,1243.3333333333333,253860.0,155640.0,1.9,2.457
228,97.1898,139157464.0,2019,1,11475.666666666666,883.0,256810.0,156120.0,1.6,2.338
229,102.3899,113779732.0,2019,2,11475.666666666666,883.0,256810.0,156120.0,1.5,2.393
230,105.4724,126231302.0,2019,3,11475.666666666666,883.0,256810.0,156120.0,1.9,2.594
231,102.8009,221265870.0,2019,4,12109.666666666666,1435.0,255880.0,157450.0,2.0,2.881
232,98.4439,174979810.0,2019,5,12109.666666666666,1435.0,255880.0,157450.0,1.8,2.946
233,107.6009,112772229.0,2019,6,12109.666666666666,1435.0,255880.0,157450.0,1.6,2.804
234,106.4509,99528084.0,2019,7,11574.666666666666,860.0,256540.00000000003,156890.0,1.8,2.823
235,102.8362,132628825.0,2019,8,11574.666666666666,860.0,256540.00000000003,156890.0,1.7,2.707
236,103.6049,123991425.0,2019,9,11574.666666666666,860.0,256540.00000000003,156890.0,1.7,2.681
237,101.4559,112966851.0,2019,10,11558.666666666666,-2203.3333333333335,237430.0,145210.0,1.8,2.724
238,103.3301,119863379.0,2019,11,11558.666666666666,-2203.3333333333335,237430.0,145210.0,2.1,2.693
239,106.3118,120575629.0,2019,12,11558.666666666666,-2203.3333333333335,237430.0,145210.0,2.3,2.645
240,94.5171,154369806.0,2020,1,9748.0,1199.6666666666667,236680.0,144910.0,2.5,2.636
241,83.3079,158421308.0,2020,2,9748.0,1199.6666666666667,236680.0,144910.0,2.3,2.533
242,64.6721,475786719.0,2020,3,9748.0,1199.6666666666667,236680.0,144910.0,1.5,2.329
243,82.1119,302736257.0,2020,4,5380.666666666667,-2756.6666666666665,223400.0,134390.0,0.3,1.938
244,82.9849,206830619.0,2020,5,5380.666666666667,-2756.6666666666665,223400.0,134390.0,0.1,1.961
245,80.7497,206124485.0,2020,6,5380.666666666667,-2756.6666666666665,223400.0,134390.0,0.6,2.17
246,75.9624,181494812.0,2020,7,7986.333333333333,-69.0,223060.0,132040.0,1.0,2.272
247,77.0715,173464939.0,2020,8,7986.333333333333,-69.0,223060.0,132040.0,1.3,2.272
248,66.1164,256445094.0,2020,9,7986.333333333333,-69.0,223060.0,132040.0,1.4,2.274
249,63.8207,251171694.0,2020,10,8352.333333333334,-221.66666666666666,239790.0,132730.0,1.2,2.248
250,81.2424,241388094.0,2020,11,8352.333333333334,-221.66666666666666,239790.0,132730.0,1.2,2.2
251,78.6983,224670987.0,2020,12,8352.333333333334,-221.66666666666666,239790.0,132730.0,1.4,2.284
252,79.3973,197519516.0,2021,1,10450.0,459.0,241650.0,132930.0,1.4,2.42
253,94.4801,202359891.0,2021,2,10450.0,459.0,241650.0,132930.0,1.7,2.587
254,99.0057,304181340.0,2021,3,10450.0,459.0,241650.0,132930.0,2.6,2.898
255,97.3806,175177045.0,2021,4,12128.333333333334,1027.3333333333333,242810.0,133910.0,4.2,2.948
256,99.2984,209441367.0,2021,5,12128.333333333334,1027.3333333333333,242810.0,133910.0,5.0,3.076
257,100.2073,223922486.0,2021,6,12128.333333333334,1027.3333333333333,242810.0,133910.0,5.4,3.157
258,97.4041,205657426.0,2021,7,14116.333333333334,2037.0,239950.0,136720.0,5.4,3.231
259,93.8652,213418815.0,2021,8,14116.333333333334,2037.0,239950.0,136720.0,5.3,3.255
260,98.4047,250500704.0,2021,9,14116.333333333334,2037.0,239950.0,136720.0,5.4,3.272
261,111.0532,211814421.0,2021,10,15402.333333333334,1685.0,239540.0,139940.0,6.2,3.384
262,110.7529,224686287.0,2021,11,15402.333333333334,1685.0,239540.0,139940.0,6.8,3.491
263,115.1489,221128758.0,2021,12,15402.333333333334,1685.0,239540.0,139940.0,7.0,3.406
264,128.8667,300049707.0,2022,1,17729.0,2086.3333333333335,249050.0,147100.0,7.5,3.413
265,142.7935,282783725.0,2022,2,17729.0,2086.3333333333335,249050.0,147100.0,7.9,3.611
266,161.4657,526661468.0,2022,3,17729.0,2086.3333333333335,249050.0,147100.0,8.5,4.322
